id_camion,orden_parada,nodo_ine,paquetes,km_tramo,tiempo_tramo_min,tiempo_acumulado_min,Id_Transportista,Centro_Origen
14,3,1401002,19,0.4359046163263593,0.5230855395916312,262.7430855395916,14,DQA4
14,4,1401003,10,2.4013021830717247,2.8815626196860697,295.6246481592777,14,DQA4
14,5,1404801,11,4.724193509125741,5.669032210950889,334.29368037022857,14,DQA4
14,6,4101401,9,10.349431631262606,12.419317957515126,373.7129983277437,14,DQA4
14,7,4102602,1,6.003511534385785,7.204213841262942,383.9172121690067,14,DQA4
14,8,Regreso_DQA4,0,128.02,95.96,479.87721216900667,14,DQA4
15,1,Inicio_DQA4,0,0.0,40.0,40.0,15,DQA4
15,2,1401101,5,202.69,152.02,207.02,15,DQA4
15,3,1406401,3,7.861980049568664,9.434376059482396,225.4543760594824,15,DQA4
15,4,1403201,3,11.438359712153966,13.726031654584759,248.18040771406714,15,DQA4
15,5,1405204,2,7.237467271209646,8.684960725451576,262.8653684395187,15,DQA4
15,6,1405203,18,1.286491212070788,1.5437894544849455,318.40915789400367,15,DQA4
15,7,1405201,2,2.8346392680693207,3.401567121683185,327.81072501568684,15,DQA4
15,8,4105502,1,72.5624284136659,87.07491409639908,417.8856391120859,15,DQA4
15,9,Regreso_DQA4,0,63.66,60.28,478.16563911208596,15,DQA4
16,1,Inicio_DQA4,0,0.0,40.0,40.0,16,DQA4
16,2,1401201,16,182.46,130.98,218.98,16,DQA4
16,3,1401204,13,0.5813852595072171,0.6976623114086605,258.67766231140865,16,DQA4
16,4,1401202,12,1.0009510300142717,1.201141236017126,295.8788035474258,16,DQA4
16,5,1401203,14,3.958684289608914,4.750421147530696,342.62922469495646,16,DQA4
16,6,1401801,2,8.932123325425353,10.718547990510425,359.3477726854669,16,DQA4
16,7,Regreso_DQA4,0,170.22,119.47,478.81777268546693,16,DQA4
17,1,Inicio_DQA4,0,0.0,40.0,40.0,17,DQA4
17,2,1401203,1,181.03,136.87,179.87,17,DQA4
17,3,1401801,9,8.932123325425353,10.718547990510425,217.58854799051042,17,DQA4
17,4,1401802,29,0.5936594953920697,0.7123913944704837,305.3009393849809,17,DQA4
17,5,1406701,17,4.5532262444244465,5.463871493309336,361.76481087829023,17,DQA4
17,6,Regreso_DQA4,0,167.51,117.63,479.39481087829023,17,DQA4
18,1,Inicio_DQA4,0,0.0,40.0,40.0,18,DQA4
18,2,1401301,62,168.93,125.9,351.9,18,DQA4
18,3,Regreso_DQA4,0,168.93,125.9,477.79999999999995,18,DQA4
19,1,Inicio_DQA4,0,0.0,40.0,40.0,19,DQA4
19,2,1401301,21,168.93,125.9,228.9,19,DQA4
19,3,1401302,36,0.35668684846750626,0.4280242181610075,337.32802421816103,19,DQA4
19,4,1401303,5,0.3252917805551321,0.3903501366661585,352.7183743548272,19,DQA4
19,5,Regreso_DQA4,0,169.02,125.6,478.31837435482714,19,DQA4
20,1,Inicio_DQA4,0,0.0,40.0,40.0,20,DQA4
20,2,1401303,30,169.02,125.6,255.6,20,DQA4
20,3,1401304,15,1.9222502562642398,2.3067003075170875,302.9067003075171,20,DQA4
