Nombre,Latitud,Longitud,Municipio,Tipo,Area_Ha,Descripcion
Poligono_Industrial_083,37.434832,-4.538006,Córdoba,industrial,10.4,OSM: industrial | 10.4 ha | Córdoba
Polígono Las Baderas,37.307142,-6.29564,Sevilla,industrial,10.32,OSM: industrial | 10.3 ha | Sevilla
Poligono_Industrial_084,37.122843,-5.433703,Sevilla,industrial,10.29,OSM: industrial | 10.3 ha | Sevilla
Polígono Industrial Los Ruedos,37.861386,-4.31938,Córdoba,industrial,10.25,OSM: industrial | 10.2 ha | Córdoba
Nueva Fábrica Ybarra,37.256804,-5.93062,Sevilla,industrial,10.24,OSM: industrial | 10.2 ha | Sevilla
Poligono_Industrial_085,36.585871,-6.181645,Cádiz,industrial,10.23,OSM: industrial | 10.2 ha | Cádiz
Poligono_Industrial_086,37.363249,-5.996259,Sevilla,industrial,10.18,OSM: industrial | 10.2 ha | Sevilla
Poligono_Industrial_087,37.943525,-4.488348,Córdoba,industrial,10.16,OSM: industrial | 10.2 ha | Córdoba
Polígono Industrial El Granadal,37.889616,-4.748649,Córdoba,industrial,10.14,OSM: industrial | 10.1 ha | Córdoba
Poligono_Industrial_088,37.181281,-5.811681,Sevilla,industrial,10.09,OSM: industrial | 10.1 ha | Sevilla
Poligono_Industrial_089,37.926682,-6.773903,Huelva,industrial,10.05,OSM: industrial | 10.1 ha | Huelva
Poligono_Industrial_090,37.267645,-5.503771,Sevilla,industrial,10.05,OSM: industrial | 10.1 ha | Sevilla
Polígono Industrial Cantalgallo,37.897084,-6.570128,Huelva,industrial,10.04,OSM: industrial | 10.0 ha | Huelva
Polígono Industrial de Almodaine,37.1756,-5.927058,Sevilla,industrial,10.03,OSM: industrial | 10.0 ha | Sevilla
Pantoja Grupo Logistico,37.442072,-6.032678,Santiponce,logistica,6.69,OSM: logistica | 6.7 ha | Sevilla
Poligono_Puerto_001,36.010027,-5.603904,Cádiz,puerto,6.34,OSM: puerto | 6.3 ha | Cádiz
CANLA,37.400945,-5.731144,Sevilla,nave_industrial,6.14,OSM: nave_industrial | 6.1 ha | Sevilla
Almacén Merkamueble,37.361263,-6.149181,Sevilla,almacen,4.32,OSM: almacen | 4.3 ha | Sevilla
Depósitos de tabaco,36.506828,-6.272096,Cádiz,almacen,4.0,OSM: almacen | 4.0 ha | Cádiz
Poligono_Nave_industrial_001,37.883098,-4.830813,Córdoba,nave_industrial,3.98,OSM: nave_industrial | 4.0 ha | Córdoba
Poligono_Nave_industrial_002,37.845887,-4.912402,Córdoba,nave_industrial,3.27,OSM: nave_industrial | 3.3 ha | Córdoba
Antigua Flex,37.353026,-5.843272,Sevilla,nave_industrial,2.97,OSM: nave_industrial | 3.0 ha | Sevilla
Sociedad Cooperativa Agraria Virgen del Rocío,36.829917,-6.317241,Cádiz,nave_industrial,2.93,OSM: nave_industrial | 2.9 ha | Cádiz
Poligono_Nave_industrial_003,37.181741,-6.923311,Huelva,nave_industrial,2.8,OSM: nave_industrial | 2.8 ha | Huelva
Poligono_Nave_industrial_004,37.34562,-5.939737,Sevilla,nave_industrial,2.71,OSM: nave_industrial | 2.7 ha | Sevilla
Centro de Recepción de Residuos Las Calandrias,36.608163,-6.125528,Cádiz,nave_industrial,2.47,OSM: nave_industrial | 2.5 ha | Cádiz
Poligono_Nave_industrial_005,37.322823,-6.676233,Huelva,nave_industrial,2.34,OSM: nave_industrial | 2.3 ha | Huelva
Grupag,37.269906,-5.995413,Sevilla,nave_industrial,2.24,OSM: nave_industrial | 2.2 ha | Sevilla
Poligono_Nave_industrial_006,37.476456,-5.954922,Sevilla,nave_industrial,2.24,OSM: nave_industrial | 2.2 ha | Sevilla
Empresa de químicos,37.802057,-5.119426,Córdoba,nave_industrial,2.21,OSM: nave_industrial | 2.2 ha | Córdoba
Alcaidesa Varadero,36.159285,-5.357647,Cádiz,puerto,2.17,OSM: puerto | 2.2 ha | Cádiz
Poligono_Nave_industrial_007,37.388511,-5.94363,Sevilla,nave_industrial,2.16,OSM: nave_industrial | 2.2 ha | Sevilla
Poligono_Nave_industrial_008,37.342304,-4.852917,Sevilla,nave_industrial,2.14,OSM: nave_industrial | 2.1 ha | Sevilla
Polisur Nave,37.292456,-7.214906,Huelva,almacen,1.97,OSM: almacen | 2.0 ha | Huelva
Poligono_Nave_industrial_009,37.804843,-5.109473,Córdoba,nave_industrial,1.86,OSM: nave_industrial | 1.9 ha | Córdoba
Bayport,36.604695,-6.191165,Cádiz,nave_industrial,1.86,OSM: nave_industrial | 1.9 ha | Cádiz
Transformaciones Ferricas Centrosur S.L,37.276068,-5.99713,Sevilla,nave_industrial,1.79,OSM: nave_industrial | 1.8 ha | Sevilla
Poligono_Nave_industrial_010,38.4804,-5.121501,Córdoba,nave_industrial,1.71,OSM: nave_industrial | 1.7 ha | Córdoba
Sweeps - La Casera,37.377957,-5.898117,Sevilla,nave_industrial,1.69,OSM: nave_industrial | 1.7 ha | Sevilla
General Dynamics European Land Systems / Santa Bárbara Sistemas,37.338743,-5.80077,Alcalá de Guadaíra,nave_industrial,1.6,OSM: nave_industrial | 1.6 ha | Sevilla
Poligono_Nave_industrial_011,37.252982,-7.229966,Huelva,nave_industrial,1.54,OSM: nave_industrial | 1.5 ha | Huelva
Poligono_Nave_industrial_012,37.490386,-5.932336,Sevilla,nave_industrial,1.51,OSM: nave_industrial | 1.5 ha | Sevilla
Poligono_Nave_industrial_013,37.431149,-5.886616,Sevilla,nave_industrial,1.51,OSM: nave_industrial | 1.5 ha | Sevilla
Centro logístico Amazon - Puerto,37.346767,-5.999934,Sevilla,nave_industrial,1.48,OSM: nave_industrial | 1.5 ha | Sevilla
Poligono_Nave_industrial_014,38.211283,-5.143235,Córdoba,nave_industrial,1.47,OSM: nave_industrial | 1.5 ha | Córdoba
Poligono_Nave_industrial_015,37.299042,-6.31334,Sevilla,nave_industrial,1.45,OSM: nave_industrial | 1.4 ha | Sevilla
BAUBLOCK,36.611045,-6.191383,Cádiz,nave_industrial,1.41,OSM: nave_industrial | 1.4 ha | Cádiz
Poligono_Almacen_001,37.569593,-5.430992,Sevilla,almacen,1.41,OSM: almacen | 1.4 ha | Sevilla
Cisternas Amarillo SL,37.453155,-5.7649,Carmona,logistica,1.37,OSM: logistica | 1.4 ha | Sevilla
Poligono_Nave_industrial_016,37.989935,-4.280544,Córdoba,nave_industrial,1.37,OSM: nave_industrial | 1.4 ha | Córdoba
Poligono_Nave_industrial_017,36.946944,-6.097069,Sevilla,nave_industrial,1.36,OSM: nave_industrial | 1.4 ha | Sevilla
Poligono_Nave_industrial_018,37.388927,-5.95609,Sevilla,nave_industrial,1.34,OSM: nave_industrial | 1.3 ha | Sevilla
Poligono_Nave_industrial_019,37.463531,-6.000669,Sevilla,nave_industrial,1.32,OSM: nave_industrial | 1.3 ha | Sevilla
Poligono_Nave_industrial_020,37.926074,-4.643405,Córdoba,nave_industrial,1.32,OSM: nave_industrial | 1.3 ha | Córdoba
Harineras VILAFRANQUINA,36.505338,-6.264234,Cádiz,nave_industrial,1.31,OSM: nave_industrial | 1.3 ha | Cádiz
Poligono_Nave_industrial_021,36.727016,-5.927477,Cádiz,nave_industrial,1.23,OSM: nave_industrial | 1.2 ha | Cádiz
Plastienvase,37.857182,-4.891653,Córdoba,nave_industrial,1.2,OSM: nave_industrial | 1.2 ha | Córdoba
Antiguo Vivero Alcaidesa,36.270067,-5.37382,Cádiz,almacen,1.19,OSM: almacen | 1.2 ha | Cádiz
Poligono_Nave_industrial_022,37.238267,-6.953219,Huelva,nave_industrial,1.14,OSM: nave_industrial | 1.1 ha | Huelva
Poligono_Nave_industrial_023,37.375456,-6.030347,Sevilla,nave_industrial,1.13,OSM: nave_industrial | 1.1 ha | Sevilla
Poligono_Nave_industrial_024,37.192284,-6.926482,Huelva,nave_industrial,1.12,OSM: nave_industrial | 1.1 ha | Huelva
Poligono_Nave_industrial_025,37.710228,-5.283442,Córdoba,nave_industrial,1.12,OSM: nave_industrial | 1.1 ha | Córdoba
Poligono_Nave_industrial_026,37.221082,-5.88724,Sevilla,nave_industrial,1.12,OSM: nave_industrial | 1.1 ha | Sevilla
Poligono_Nave_industrial_027,37.900092,-4.72523,Córdoba,nave_industrial,1.11,OSM: nave_industrial | 1.1 ha | Córdoba
Poligono_Nave_industrial_028,37.211314,-5.772255,Sevilla,nave_industrial,1.1,OSM: nave_industrial | 1.1 ha | Sevilla
Poligono_Nave_industrial_029,37.272547,-5.942958,Sevilla,nave_industrial,1.05,OSM: nave_industrial | 1.1 ha | Sevilla
Poligono_Nave_industrial_030,37.350755,-7.012339,Huelva,nave_industrial,1.04,OSM: nave_industrial | 1.0 ha | Huelva
Poligono_Nave_industrial_031,37.320518,-7.078772,Huelva,nave_industrial,1.04,OSM: nave_industrial | 1.0 ha | Huelva
Poligono_Nave_industrial_032,36.631934,-6.364253,Cádiz,nave_industrial,1.02,OSM: nave_industrial | 1.0 ha | Cádiz
Antigua Azucarera,37.58889,-5.735764,Tocina,nave_industrial,0.99,OSM: nave_industrial | 1.0 ha | Sevilla
Poligono_Nave_industrial_033,37.244798,-7.252443,Huelva,nave_industrial,0.99,OSM: nave_industrial | 1.0 ha | Huelva
Poligono_Nave_industrial_034,37.179194,-6.912071,Huelva,nave_industrial,0.98,OSM: nave_industrial | 1.0 ha | Huelva
Poligono_Nave_industrial_035,37.683383,-5.306731,Córdoba,nave_industrial,0.97,OSM: nave_industrial | 1.0 ha | Córdoba
Poligono_Nave_industrial_036,37.547156,-5.944541,Sevilla,nave_industrial,0.96,OSM: nave_industrial | 1.0 ha | Sevilla
Poligono_Nave_industrial_037,37.522871,-6.082428,Sevilla,nave_industrial,0.96,OSM: nave_industrial | 1.0 ha | Sevilla
Poligono_Nave_industrial_038,36.659392,-6.144389,Cádiz,nave_industrial,0.95,OSM: nave_industrial | 0.9 ha | Cádiz
Poligono_Nave_industrial_039,37.29302,-7.153468,Huelva,nave_industrial,0.89,OSM: nave_industrial | 0.9 ha | Huelva
Poligono_Nave_industrial_040,37.578573,-5.973717,Sevilla,nave_industrial,0.84,OSM: nave_industrial | 0.8 ha | Sevilla
Poligono_Almacen_002,36.594468,-6.231526,Cádiz,almacen,0.84,OSM: almacen | 0.8 ha | Cádiz
Poligono_Nave_industrial_041,37.560688,-5.06942,Sevilla,nave_industrial,0.84,OSM: nave_industrial | 0.8 ha | Sevilla
Poligono_Nave_industrial_042,37.285365,-4.780263,Sevilla,nave_industrial,0.84,OSM: nave_industrial | 0.8 ha | Sevilla
Gar & Cía,36.52081,-6.232203,Cádiz,almacen,0.84,OSM: almacen | 0.8 ha | Cádiz
Poligono_Nave_industrial_043,36.697829,-6.114564,Cádiz,nave_industrial,0.84,OSM: nave_industrial | 0.8 ha | Cádiz
Poligono_Nave_industrial_044,36.690429,-6.146463,Cádiz,nave_industrial,0.83,OSM: nave_industrial | 0.8 ha | Cádiz
Schott Solar CSP,37.504416,-6.244249,Aznalcollar,nave_industrial,0.81,OSM: nave_industrial | 0.8 ha | Sevilla
Poligono_Nave_industrial_045,36.665002,-6.130555,Cádiz,nave_industrial,0.79,OSM: nave_industrial | 0.8 ha | Cádiz
Poligono_Almacen_003,36.533199,-6.128425,Cádiz,almacen,0.78,OSM: almacen | 0.8 ha | Cádiz
Muebles Escalu,37.353383,-4.998364,Sevilla,nave_industrial,0.78,OSM: nave_industrial | 0.8 ha | Sevilla
Poligono_Nave_industrial_046,37.343188,-4.996093,Sevilla,nave_industrial,0.77,OSM: nave_industrial | 0.8 ha | Sevilla
Poligono_Nave_industrial_047,37.31389,-6.850104,Huelva,nave_industrial,0.75,OSM: nave_industrial | 0.8 ha | Huelva
Poligono_Nave_industrial_048,36.649727,-6.126377,Cádiz,nave_industrial,0.74,OSM: nave_industrial | 0.7 ha | Cádiz
Poligono_Nave_industrial_049,37.200904,-5.795917,Sevilla,nave_industrial,0.74,OSM: nave_industrial | 0.7 ha | Sevilla
Poligono_Nave_industrial_050,37.4151,-5.957065,Sevilla,nave_industrial,0.73,OSM: nave_industrial | 0.7 ha | Sevilla
Poligono_Nave_industrial_051,36.910191,-5.968095,Sevilla,nave_industrial,0.72,OSM: nave_industrial | 0.7 ha | Sevilla
Poligono_Almacen_004,37.206614,-4.774485,Sevilla,almacen,0.72,OSM: almacen | 0.7 ha | Sevilla
Poligono_Nave_industrial_052,37.367504,-5.900144,Sevilla,nave_industrial,0.71,OSM: nave_industrial | 0.7 ha | Sevilla
Poligono_Nave_industrial_053,37.288746,-5.914452,Sevilla,nave_industrial,0.69,OSM: nave_industrial | 0.7 ha | Sevilla
Poligono_Nave_industrial_054,38.157314,-5.833986,Sevilla,nave_industrial,0.69,OSM: nave_industrial | 0.7 ha | Sevilla
