Nombre,Latitud,Longitud,Municipio,Tipo,Area_Ha,Descripcion,pendiente_pct,enp_dist_m,agua_dist_m,usos_dist_m,dist_autopista_km,autopista_cercana,cobertura_pct,poblacion_30km,dist_competencia_km,estacion_cercana,subst_dist_m,subst_encontrada,desv_centroide_km,concentracion_30km_pct,dist_nucleo_km,nucleo_cercano,motivos_rechazo,aprobado,eliminado_dedup
Polígono Industrial Los Alfares,37.612893,-4.725054,Córdoba,industrial,23.96,OSM: industrial | 24.0 ha | Córdoba,6.0,,,426,2.3,27,17.9,198949,23.95,Correos Express Hub Córdoba,660,True,9.03,22.2,30.98,Córdoba,F1(pendiente=6.0%),False,False
Polígono Industrial Los Bermejales,37.351348,-6.678483,Huelva,industrial,23.95,OSM: industrial | 23.9 ha | Huelva,2.0,,,,0.98,60,36.2,323736,61.74,Amazon DSP Sevilla,1013,True,34.75,19.9,26.26,Huelva,,True,False
Puerto Sevilla,37.361498,-5.990838,Sevilla,industrial,23.6,OSM: industrial | 23.6 ha | Sevilla,4.67,779,98,260,1.17,12,45.3,1532441,1.6,Amazon DSP Sevilla,817,True,2.76,81.3,2.91,Dos Hermanas,F1(pendiente=4.7%) | F3(Agua a 98 m (mín 140 m)),False,False
Polígono Industrial El Peral,36.767109,-5.811788,Cádiz,industrial,23.48,OSM: industrial | 23.5 ha | Cádiz,11.0,1536,,,0.62,27,31.9,241970,40.37,Amazon El Puerto de Santa María (Cádiz),2269,True,19.15,16.1,30.49,Jerez de la Frontera,F1(pendiente=11.0%),False,False
Los Llanos,37.593235,-4.303278,Córdoba,industrial,22.95,OSM: industrial | 22.9 ha | Córdoba,10.0,,,,20.52,47,14.6,156496,50.45,Correos Express Hub Córdoba,1643,True,35.86,21.2,53.18,Córdoba,F1(pendiente=10.0%) | F5(20.5 km>15.0 km) | F12(Córdoba 53.2 km>50.0 km),False,False
Poligono_Industrial_032,37.573141,-4.66013,Córdoba,industrial,22.82,OSM: industrial | 22.8 ha | Córdoba,6.0,,,357,3.95,36,17.6,214409,30.08,Correos Express Hub Córdoba,3859,True,15.25,24.5,36.57,Córdoba,F1(pendiente=6.0%),False,False
Polígono Industrial Tejares,37.226911,-5.322517,Sevilla,industrial,22.69,OSM: industrial | 22.7 ha | Sevilla,2.67,,478,181,0.45,63,37.2,123226,56.04,SEUR Hub Sevilla,,False,41.05,6.6,60.79,Dos Hermanas,F4(residential a 181 m (mín 200 m)) | F12(Dos Hermanas 60.8 km>50.0 km),False,False
Polígono Industrial Los Santos,37.360322,-4.486004,Córdoba,industrial,22.64,OSM: industrial | 22.6 ha | Córdoba,3.67,,,,0.47,62,15.6,195797,58.12,Correos Express Hub Córdoba,1250,True,40.71,24.8,64.13,Córdoba,F1(pendiente=3.7%) | F12(Córdoba 64.1 km>50.0 km),False,False
Poligono_Industrial_033,37.238153,-4.573515,Córdoba,industrial,22.64,OSM: industrial | 22.6 ha | Córdoba,9.33,,,,2.92,79,8.0,158057,53.21,Amazon DQA3 Málaga,,False,25.44,39.8,69.71,Algeciras,F1(pendiente=9.3%) | F12(Algeciras 69.7 km>50.0 km),False,False
Polígono Industrial La Morera,37.202165,-5.804754,Sevilla,industrial,22.62,OSM: industrial | 22.6 ha | Sevilla,2.0,,,301,1.22,nodo_1713120889,48.8,1260373,21.7,SEUR Hub Sevilla,280,True,15.17,62.4,25.67,Dos Hermanas,,True,True
Poligono_Industrial_034,37.508217,-5.383029,Sevilla,industrial,22.46,OSM: industrial | 22.5 ha | Sevilla,1.67,,447,,0.52,482,43.2,169587,50.68,SEUR Hub Sevilla,,False,38.77,7.8,54.42,Dos Hermanas,F12(Dos Hermanas 54.4 km>50.0 km),False,False
Parque Empresarial Cuarto de la Huerta,37.582073,-5.958607,Sevilla,industrial,22.41,OSM: industrial | 22.4 ha | Sevilla,4.0,,234,413,12.66,798,43.0,1247038,23.72,SEUR Hub Sevilla,373,True,21.67,71.2,21.66,Sevilla,F1(pendiente=4.0%),False,False
Poligono_Industrial_035,37.133894,-5.454018,Sevilla,industrial,22.35,OSM: industrial | 22.4 ha | Sevilla,3.67,,466,323,13.32,nodo_250138512,43.9,153257,49.64,SEUR Hub Sevilla,326,True,40.72,6.9,54.35,Dos Hermanas,F1(pendiente=3.7%) | F12(Dos Hermanas 54.4 km>50.0 km),False,False
