Nombre,Latitud,Longitud,Municipio,Tipo,Area_Ha,Descripcion,pendiente_pct,enp_dist_m,agua_dist_m,usos_dist_m,dist_autopista_km,autopista_cercana,cobertura_pct,poblacion_30km,dist_competencia_km,estacion_cercana,subst_dist_m,subst_encontrada,desv_centroide_km,concentracion_30km_pct,dist_nucleo_km,nucleo_cercano,motivos_rechazo,aprobado,eliminado_dedup
Poligono_Industrial_045,37.401096,-4.581113,Córdoba,industrial,17.8,OSM: industrial | 17.8 ha | Córdoba,4.67,,501,,4.49,56,16.6,213997,50.41,Correos Express Hub Córdoba,,False,33.62,25.7,56.91,Córdoba,F1(pendiente=4.7%) | F12(Córdoba 56.9 km>50.0 km),False,False
Poligono_Greenfield_002,37.557038,-6.039679,Sevilla,greenfield,17.68,OSM: greenfield | 17.7 ha | Sevilla,4.0,,104,319,5.27,795,43.5,1212518,22.94,SEUR Hub Sevilla,1843,True,20.06,68.9,19.44,Sevilla,F1(pendiente=4.0%) | F3(Agua a 104 m (mín 140 m)),False,False
Poligono_Industrial_046,37.777432,-6.771872,Huelva,industrial,17.67,OSM: industrial | 17.7 ha | Huelva,11.67,,641,,49.02,60,10.0,62087,84.44,Amazon DSP Sevilla,896,True,42.7,13.2,59.61,Huelva,F1(pendiente=11.7%) | F5(49.0 km>15.0 km) | F12(Huelva 59.6 km>50.0 km),False,False
Polígono Industrial Quintos-Aeropuerto,37.85227,-4.862641,Córdoba,industrial,17.59,OSM: industrial | 17.6 ha | Córdoba,3.67,,,164,5.37,3,17.6,387453,6.57,Correos Express Hub Córdoba,3176,True,11.15,51.5,8.33,Córdoba,F1(pendiente=3.7%) | F4(residential a 164 m (mín 200 m)),False,False
Poligono_Industrial_047,37.72376,-6.170078,Sevilla,industrial,17.56,OSM: industrial | 17.6 ha | Sevilla,7.33,,610,94,1.32,771,40.4,69817,44.67,SEUR Hub Sevilla,,False,38.26,3.6,40.82,Sevilla,F1(pendiente=7.3%) | F4(residential a 94 m (mín 200 m)),False,False
Parque Tecnológico Dehesa de Valme,37.307335,-5.938159,Sevilla,comercial,17.32,OSM: comercial | 17.3 ha | Sevilla,2.0,,149,,0.8,19,45.4,1498540,6.02,Amazon DSP Sevilla,919,True,3.65,79.7,9.52,Dos Hermanas,,True,True
Poligono_Industrial_048,37.227314,-5.305764,Sevilla,industrial,17.22,OSM: industrial | 17.2 ha | Sevilla,1.67,,236,248,0.61,65,36.7,127769,57.45,SEUR Hub Sevilla,,False,41.66,6.9,62.19,Dos Hermanas,F12(Dos Hermanas 62.2 km>50.0 km),False,False
Poligono_Industrial_049,37.450436,-4.810893,Córdoba,industrial,17.15,OSM: industrial | 17.1 ha | Córdoba,4.33,2096,237,,17.13,36,18.2,249207,41.1,Correos Express Hub Córdoba,286,True,22.99,27.6,48.76,Córdoba,F1(pendiente=4.3%) | F5(17.1 km>15.0 km),False,False
Poligono_Industrial_050,37.890347,-4.375998,Córdoba,industrial,16.65,OSM: industrial | 16.6 ha | Córdoba,6.33,,,0,10.6,370,13.9,53400,38.04,Correos Express Hub Córdoba,,False,29.35,7.6,35.4,Córdoba,F1(pendiente=6.3%) | F4(residential a 0 m (mín 200 m)),False,False
Polígono Industrial Puerta del Parque Natural,37.824329,-6.442415,Huelva,industrial,16.5,OSM: industrial | 16.5 ha | Huelva,5.67,198,158,,21.84,745,27.3,42837,66.65,Amazon DSP Sevilla,57,True,53.75,3.2,63.2,Sevilla,F1(pendiente=5.7%) | F2(ENP a 198 m (mín 500 m): Parque Natural de Sierra ) | F5(21.8 km>15.0 km) | F12(Sevilla 63.2 km>50.0 km),False,False
Amazon SVQ1,37.271283,-5.989964,Dos Hermanas,industrial,16.49,OSM: industrial | 16.5 ha | Sevilla,1.0,,,,1.24,553,46.9,1483733,8.8,Amazon DSP Sevilla,137,True,5.38,76.3,12.81,Dos Hermanas,,True,False
Poligono_Industrial_051,37.1944,-5.752092,Sevilla,industrial,16.46,OSM: industrial | 16.5 ha | Sevilla,3.0,,,,5.38,nodo_1713120889,46.8,994692,25.08,SEUR Hub Sevilla,1979,True,19.69,49.7,29.35,Dos Hermanas,,True,True
Polígono Industrial Las Lagunillas,37.66278,-4.927576,Córdoba,industrial,16.38,OSM: industrial | 16.4 ha | Córdoba,2.33,,,336,1.76,432,18.5,471153,20.77,Correos Express Hub Córdoba,1712,True,8.62,58.2,28.25,Córdoba,,True,False
Polígono Industrial Fuente Palma,37.268351,-4.53268,Córdoba,industrial,16.35,OSM: industrial | 16.4 ha | Córdoba,7.0,,,262,1.11,76,7.9,146990,56.55,Amazon DQA3 Málaga,,False,24.91,37.2,72.27,Córdoba,F1(pendiente=7.0%) | F12(Córdoba 72.3 km>50.0 km),False,False
Cementos Cosmos,37.359315,-6.672213,Huelva,industrial,16.34,OSM: industrial | 16.3 ha | Huelva,5.0,,341,395,1.89,60,36.2,326658,61.19,Amazon DSP Sevilla,33,True,34.17,20.0,27.12,Huelva,F1(pendiente=5.0%),False,False
Vipren,36.41915,-6.178211,Cádiz,industrial,16.11,OSM: industrial | 16.1 ha | Cádiz,1.33,667,,237,4.09,3,20.6,569128,21.55,Amazon El Puerto de Santa María (Cádiz),1567,True,17.37,61.3,15.53,Cádiz,,True,True
Polígono Industrial de Fadricas,36.473545,-6.204837,Cádiz,industrial,15.96,OSM: industrial | 16.0 ha | Cádiz,1.33,745,201,217,2.12,7,20.8,689448,15.23,Amazon El Puerto de Santa María (Cádiz),710,True,12.9,74.4,9.56,Cádiz,,True,False
Polígono Industrial SAU15,37.676613,-4.925044,Córdoba,industrial,15.93,OSM: industrial | 15.9 ha | Córdoba,5.0,,375,274,0.56,432,18.5,464151,19.37,Correos Express Hub Córdoba,270,True,8.41,57.3,26.78,Córdoba,F1(pendiente=5.0%),False,False
Polígono Industrial El Rosal,37.591483,-5.200131,Sevilla,industrial,15.77,OSM: industrial | 15.8 ha | Sevilla,3.67,,,155,7.6,464,21.0,148491,43.41,Correos Express Hub Córdoba,1837,True,8.18,14.0,49.57,Córdoba,F1(pendiente=3.7%) | F4(residential a 155 m (mín 200 m)),False,False
Palmones I,36.178676,-5.442749,Cádiz,industrial,15.68,OSM: industrial | 15.7 ha | Cádiz,2.67,173,236,291,0.47,1113,8.5,274460,84.5,Amazon El Puerto de Santa María (Cádiz),1726,True,10.99,72.1,83.61,Jerez de la Frontera,F2(ENP a 173 m (mín 500 m): Paraje Natural Río Palmon) | F12(Jerez de la Frontera 83.6 km>50.0 km),False,False
Sociedad Cooperativa Andaluza Las Palmeras,37.110441,-5.946048,Sevilla,industrial,15.43,OSM: industrial | 15.4 ha | Sevilla,1.0,165,117,118,6.32,24,53.2,644593,26.81,Amazon DSP Sevilla,,False,13.63,28.7,30.81,Dos Hermanas,F2(ENP a 165 m (mín 500 m)) | F3(Agua a 117 m (mín 140 m)) | F4(residential a 118 m (mín 200 m)),False,False
Polígono Industrial VI Centenario,37.392993,-6.557565,Huelva,industrial,15.41,OSM: industrial | 15.4 ha | Huelva,2.33,,,207,4.24,50,45.4,166892,51.26,Amazon DSP Sevilla,1525,True,32.67,7.4,37.91,Huelva,,True,True
Bioenergía Santamaría,37.359299,-4.501548,Córdoba,industrial,15.4,OSM: industrial | 15.4 ha | Córdoba,9.67,,68,,0.92,62,15.7,199775,57.58,Correos Express Hub Córdoba,128,True,40.06,25.2,63.7,Córdoba,F1(pendiente=9.7%) | F3(Agua a 68 m (mín 140 m)) | F12(Córdoba 63.7 km>50.0 km),False,False
Polígono Industrial Fernando Guerrero,36.97867,-5.946795,Sevilla,industrial,15.37,OSM: industrial | 15.4 ha | Sevilla,5.33,,536,0,0.64,44,59.2,235859,41.39,Amazon DSP Sevilla,4592,True,16.62,7.8,37.08,Jerez de la Frontera,F1(pendiente=5.3%) | F4(residential a 0 m (mín 200 m)),False,False
Poligono_Industrial_052,37.973906,-4.4495,Córdoba,industrial,15.32,OSM: industrial | 15.3 ha | Córdoba,6.33,,360,322,0.33,367,14.0,139933,35.2,Correos Express Hub Córdoba,556,True,28.13,20.5,30.46,Córdoba,F1(pendiente=6.3%),False,False
Poligono_Industrial_053,38.189606,-5.038546,Córdoba,industrial,15.28,OSM: industrial | 15.3 ha | Córdoba,6.33,,,,3.62,nodo_946210215,11.8,46015,46.11,Correos Express Hub Córdoba,,False,34.24,8.3,40.48,Córdoba,F1(pendiente=6.3%),False,False
Hytasal,37.367751,-5.963168,Sevilla,industrial,15.23,OSM: industrial | 15.2 ha | Sevilla,1.67,1740,92,233,0.96,0A,45.2,1526557,2.47,Amazon DSP Sevilla,234,True,2.27,81.3,2.53,Dos Hermanas,F3(Agua a 92 m (mín 140 m)),False,False
Polígono Industrial Pineda,37.335834,-5.966971,Sevilla,industrial,15.22,OSM: industrial | 15.2 ha | Sevilla,1.33,,539,0,0.72,8B,45.1,1516948,1.95,Amazon DSP Sevilla,589,True,0.94,81.0,5.72,Dos Hermanas,F4(residential a 0 m (mín 200 m)),False,False
Poligono_Comercial_005,37.231024,-4.901103,Sevilla,comercial,15.15,OSM: comercial | 15.2 ha | Sevilla,6.67,,39,167,6.35,97,10.3,107980,60.95,Amazon DQA3 Málaga,5893,True,18.9,20.7,73.86,Córdoba,F1(pendiente=6.7%) | F3(Agua a 39 m (mín 140 m)) | F4(residential a 167 m (mín 200 m)) | F12(Córdoba 73.9 km>50.0 km),False,False
Polígono Industrial Solucar,37.364945,-6.200384,Sevilla,industrial,15.11,OSM: industrial | 15.1 ha | Sevilla,3.0,2026,,225,0.46,16,44.5,1344365,19.55,Amazon DSP Sevilla,2982,True,15.28,73.6,19.44,Sevilla,,True,True
Polígono Industrial San Roque,38.436501,-4.893313,Córdoba,industrial,15.11,OSM: industrial | 15.1 ha | Córdoba,2.33,,240,,30.69,nodo_946210215,9.7,46576,69.04,Correos Express Hub Córdoba,,False,53.33,10.0,61.78,Córdoba,F5(30.7 km>15.0 km) | F12(Córdoba 61.8 km>50.0 km),False,False
Poligono_Greenfield_003,37.293899,-5.917048,Sevilla,greenfield,15.06,OSM: greenfield | 15.1 ha | Sevilla,3.33,,,0,2.0,19,45.6,1492828,8.36,Amazon DSP Sevilla,329,True,5.55,79.0,11.68,Dos Hermanas,F1(pendiente=3.3%) | F4(residential a 0 m (mín 200 m)),False,False
Central Térmica de Ciclo Combinado Cristóbal Colón,37.216041,-6.943596,Huelva,industrial,15.04,OSM: industrial | 15.0 ha | Huelva,2.33,,192,,0.42,18,11.2,326270,86.54,Amazon DSP Sevilla,0,True,11.32,65.6,5.05,Huelva,,True,True
Polígono Industrial Itálica,37.452439,-6.046038,Sevilla,industrial,14.93,OSM: industrial | 14.9 ha | Sevilla,4.0,650,226,,0.29,805,44.2,1455052,12.8,Amazon DSP Sevilla,1733,True,11.03,79.9,9.09,Sevilla,F1(pendiente=4.0%),False,False
Central Térmica de Ciclo Combinado de la Bahía de Algeciras,36.183908,-5.388342,Cádiz,industrial,14.93,OSM: industrial | 14.9 ha | Cádiz,4.33,2442,157,171,0.48,2,8.5,274460,88.24,Amazon El Puerto de Santa María (Cádiz),25,True,15.15,72.1,86.91,Jerez de la Frontera,F1(pendiente=4.3%) | F4(residential a 171 m (mín 200 m)) | F12(Jerez de la Frontera 86.9 km>50.0 km),False,False
Poligono_Industrial_054,36.298961,-5.874801,Cádiz,industrial,14.76,OSM: industrial | 14.8 ha | Cádiz,4.67,555,123,483,10.52,36,24.5,213454,46.36,Amazon El Puerto de Santa María (Cádiz),4492,True,19.22,18.5,44.88,Cádiz,F1(pendiente=4.7%) | F3(Agua a 123 m (mín 140 m)),False,False
Parque Tecnológico-Empresarial I,36.209051,-5.43071,Cádiz,comercial,14.74,OSM: comercial | 14.7 ha | Cádiz,8.67,2334,144,130,0.99,1110,8.5,276105,83.53,Amazon El Puerto de Santa María (Cádiz),250,True,10.7,72.5,82.2,Jerez de la Frontera,F1(pendiente=8.7%) | F4(residential a 130 m (mín 200 m)) | F12(Jerez de la Frontera 82.2 km>50.0 km),False,False
Poligono_Industrial_055,37.249212,-7.197155,Huelva,industrial,14.73,OSM: industrial | 14.7 ha | Huelva,1.0,,68,149,5.53,117,10.1,303518,108.24,Amazon DSP Sevilla,912,True,22.67,68.2,21.67,Huelva,F3(Agua a 68 m (mín 140 m)) | F4(residential a 149 m (mín 200 m)),False,False
Poligono_Comercial_006,37.304884,-4.880227,Sevilla,comercial,14.64,OSM: comercial | 14.6 ha | Sevilla,7.67,,381,,0.35,105,14.1,121272,57.71,Correos Express Hub Córdoba,888,True,24.6,17.1,65.47,Córdoba,F1(pendiente=7.7%) | F12(Córdoba 65.5 km>50.0 km),False,False
Williams & Humbert,36.672561,-6.155665,Cádiz,industrial,14.62,OSM: industrial | 14.6 ha | Cádiz,3.0,1263,28,427,0.32,nodo_561608628,22.8,773924,9.02,Amazon El Puerto de Santa María (Cádiz),601,True,5.55,73.8,1.97,Jerez de la Frontera,F3(Agua a 28 m (mín 140 m)),False,False
Ceramica,36.204927,-5.399025,Cádiz,industrial,14.58,OSM: industrial | 14.6 ha | Cádiz,13.33,474,287,385,0.3,1108,8.5,276105,86.18,Amazon El Puerto de Santa María (Cádiz),314,True,13.57,72.5,84.69,Jerez de la Frontera,F1(pendiente=13.3%) | F2(ENP a 474 m (mín 500 m): Estación Ambiental Madrev) | F12(Jerez de la Frontera 84.7 km>50.0 km),False,False
Polígono Industrial Cerro de la Virgen,37.884911,-4.374989,Córdoba,industrial,14.37,OSM: industrial | 14.4 ha | Córdoba,4.67,,,0,11.08,370,14.0,53400,38.01,Correos Express Hub Córdoba,,False,29.53,7.5,35.49,Córdoba,F1(pendiente=4.7%) | F4(residential a 0 m (mín 200 m)),False,False
Polígono el Junquillo,37.472161,-4.451688,Córdoba,industrial,14.24,OSM: industrial | 14.2 ha | Córdoba,9.67,2119,211,287,2.05,47,16.3,224162,49.36,Correos Express Hub Córdoba,990,True,33.95,27.1,54.51,Córdoba,F1(pendiente=9.7%) | F12(Córdoba 54.5 km>50.0 km),False,False
Polígono Industrial La Orejona,37.468678,-5.340791,Sevilla,industrial,14.1,OSM: industrial | 14.1 ha | Sevilla,3.67,,,0,4.77,480,41.2,190518,53.18,SEUR Hub Sevilla,,False,37.72,9.2,57.18,Dos Hermanas,F1(pendiente=3.7%) | F4(residential a 0 m (mín 200 m)) | F12(Dos Hermanas 57.2 km>50.0 km),False,False
Ence I,37.308622,-6.858755,Huelva,industrial,14.09,OSM: industrial | 14.1 ha | Huelva,3.0,,547,,1.03,77,13.1,336661,77.83,Amazon DSP Sevilla,259,True,6.05,57.5,9.87,Huelva,,True,True
Parque Empresarial Vereda de la Herrería,37.366912,-6.256667,Sevilla,industrial,14.09,OSM: industrial | 14.1 ha | Sevilla,2.33,1828,591,286,1.13,23,48.4,1138780,24.53,Amazon DSP Sevilla,1152,True,13.4,57.6,24.36,Sevilla,,True,True
Poligono_Industrial_056,38.182334,-5.044173,Córdoba,industrial,14.07,OSM: industrial | 14.1 ha | Córdoba,12.33,,512,,3.79,nodo_946210215,11.8,45041,45.62,Correos Express Hub Córdoba,,False,33.75,8.1,40.09,Córdoba,F1(pendiente=12.3%),False,False
Polígono Industrial La Cañada,37.589637,-5.206092,Sevilla,industrial,14.05,OSM: industrial | 14.1 ha | Sevilla,3.33,,509,369,7.36,468,20.9,157575,43.96,Correos Express Hub Córdoba,1987,True,8.7,14.9,50.1,Córdoba,F1(pendiente=3.3%) | F12(Córdoba 50.1 km>50.0 km),False,False
Poligono_Comercial_007,37.874708,-4.835699,Córdoba,comercial,13.99,OSM: comercial | 14.0 ha | Córdoba,2.0,,,,4.5,3,16.9,381093,6.84,Correos Express Hub Córdoba,1834,True,11.87,53.2,5.16,Córdoba,,True,True
Poligono_Industrial_057,37.512564,-4.649111,Córdoba,industrial,13.96,OSM: industrial | 14.0 ha | Córdoba,8.0,,,166,1.84,40,17.6,211503,36.67,Correos Express Hub Córdoba,422,True,21.18,24.1,43.31,Córdoba,F1(pendiente=8.0%) | F4(residential a 166 m (mín 200 m)),False,False
Poligono_Industrial_058,37.082736,-5.89303,Sevilla,industrial,13.89,OSM: industrial | 13.9 ha | Sevilla,0.33,,129,,8.65,24,53.1,477370,30.7,Amazon DSP Sevilla,3890,True,17.16,20.4,34.61,Dos Hermanas,F3(Agua a 129 m (mín 140 m)),False,False
Polígono Industrial San Ildefonso,37.82059,-4.997591,Córdoba,industrial,13.84,OSM: industrial | 13.8 ha | Córdoba,1.67,,469,,15.15,430,17.9,407414,17.36,Correos Express Hub Córdoba,2162,True,16.47,52.9,20.58,Córdoba,F5(15.2 km>15.0 km),False,False
Poligono_Industrial_059,37.421579,-4.48837,Córdoba,industrial,13.83,OSM: industrial | 13.8 ha | Córdoba,8.67,,,7,1.08,nodo_878923531,16.2,230667,52.12,Correos Express Hub Córdoba,276,True,35.89,28.0,57.87,Córdoba,F1(pendiente=8.7%) | F4(residential a 7 m (mín 200 m)) | F12(Córdoba 57.9 km>50.0 km),False,False
Poligono_Industrial_060,36.711931,-6.037786,Cádiz,industrial,13.75,OSM: industrial | 13.8 ha | Cádiz,5.33,,159,354,0.46,3,26.8,538348,19.81,Amazon El Puerto de Santa María (Cádiz),256,True,4.08,42.4,9.45,Jerez de la Frontera,F1(pendiente=5.3%),False,False
Polígono Industrial La Vega,37.460538,-4.190682,Córdoba,industrial,13.71,OSM: industrial | 13.7 ha | Córdoba,25.67,,290,150,23.42,47,6.4,130430,46.12,Amazon DQA8 Escúzar (Granada),3016,True,32.36,40.2,70.33,Córdoba,F1(pendiente=25.7%) | F4(residential a 150 m (mín 200 m)) | F5(23.4 km>15.0 km) | F12(Córdoba 70.3 km>50.0 km),False,False
Polígono Industrial Los Baldíos,37.104606,-4.989162,Sevilla,industrial,13.6,OSM: industrial | 13.6 ha | Sevilla,6.0,,415,244,15.42,nodo_3066939248,10.0,73917,54.7,Amazon DQA3 Málaga,5125,True,21.37,14.5,69.79,Algeciras,F1(pendiente=6.0%) | F5(15.4 km>15.0 km) | F12(Algeciras 69.8 km>50.0 km),False,False
Exolum Arahal II,37.239297,-5.60059,Sevilla,industrial,13.38,OSM: industrial | 13.4 ha | Sevilla,2.0,,648,,2.15,nodo_249568050,47.3,407521,32.56,SEUR Hub Sevilla,185,True,26.29,18.4,37.32,Dos Hermanas,,True,False
Maxam El Garrobo,37.600449,-6.168393,Sevilla,industrial,13.38,OSM: industrial | 13.4 ha | Sevilla,3.67,,,,3.71,782,42.3,843175,32.43,Amazon DSP Sevilla,,False,27.35,49.3,28.75,Sevilla,F1(pendiente=3.7%),False,False
Polígono Industrial El Gran Poder-Pelagatos,37.53981,-5.880899,Sevilla,industrial,13.38,OSM: industrial | 13.4 ha | Sevilla,2.67,,305,0,11.77,530,43.9,1360877,19.37,SEUR Hub Sevilla,348,True,18.9,75.7,19.09,Sevilla,F4(residential a 0 m (mín 200 m)),False,False
Polígono Industrial Polirrosa,37.264683,-6.921165,Huelva,industrial,13.36,OSM: industrial | 13.4 ha | Huelva,2.33,1778,234,0,0.24,11,11.7,327287,83.78,Amazon DSP Sevilla,350,True,7.57,62.8,2.83,Huelva,F4(residential a 0 m (mín 200 m)),False,False
Polígono Industrial El Bujeo,37.363631,-4.839306,Sevilla,industrial,13.26,OSM: industrial | 13.3 ha | Sevilla,7.0,,,213,7.35,106,18.8,169900,50.86,Correos Express Hub Córdoba,2953,True,28.63,17.9,58.57,Córdoba,F1(pendiente=7.0%) | F12(Córdoba 58.6 km>50.0 km),False,False
Poligono_Industrial_061,37.588488,-5.749834,Sevilla,industrial,13.23,OSM: industrial | 13.2 ha | Sevilla,1.0,,,,13.67,514,43.5,722939,29.03,SEUR Hub Sevilla,3457,True,26.36,35.8,30.28,Sevilla,,True,False
Dragados,36.217209,-5.438045,Cádiz,industrial,13.15,OSM: industrial | 13.2 ha | Cádiz,1.0,,186,222,2.1,1110,8.6,276105,82.48,Amazon El Puerto de Santa María (Cádiz),351,True,10.03,71.6,81.11,Jerez de la Frontera,F12(Jerez de la Frontera 81.1 km>50.0 km),False,False
Poligono_Industrial_062,37.302139,-5.89235,Sevilla,industrial,13.05,OSM: industrial | 13.1 ha | Sevilla,5.67,,,,0.95,8,45.6,1514533,8.25,SEUR Hub Sevilla,1165,True,6.32,80.0,12.14,Dos Hermanas,F1(pendiente=5.7%),False,False
Poligono_Industrial_063,36.74678,-6.067217,Cádiz,industrial,13.03,OSM: industrial | 13.0 ha | Cádiz,3.33,,,86,1.18,628,28.8,562432,20.42,Amazon El Puerto de Santa María (Cádiz),2818,True,2.3,41.1,9.52,Jerez de la Frontera,F1(pendiente=3.3%) | F4(school a 86 m (mín 200 m)),False,False
Polígono Industrial Guadalquivir,37.320105,-6.030608,Gelves,industrial,12.99,OSM: industrial | 13.0 ha | Sevilla,1.33,,525,355,4.54,549,45.3,1520202,5.57,Amazon DSP Sevilla,1761,True,6.19,80.8,8.6,Dos Hermanas,,True,True
Polígono Industrial El Pontón,37.918139,-6.83527,Huelva,industrial,12.78,OSM: industrial | 12.8 ha | Huelva,13.0,0,131,,53.16,741,3.1,38049,98.3,Amazon DSP Sevilla,,False,33.9,25.8,73.81,Huelva,F1(pendiente=13.0%) | F2(ENP a 0 m (mín 500 m): Parque Natural de Sierra de) | F3(Agua a 131 m (mín 140 m)) | F5(53.2 km>15.0 km) | F12(Huelva 73.8 km>50.0 km),False,False
Poligono_Brownfield_006,37.370748,-5.910211,Sevilla,brownfield,12.74,OSM: brownfield | 12.7 ha | Sevilla,1.67,,,142,1.95,5,45.1,1539815,1.75,SEUR Hub Sevilla,2038,True,4.32,82.0,6.4,Dos Hermanas,F4(residential a 142 m (mín 200 m)),False,False
Terminal logística ferroviaria Majarabique,37.447957,-5.966564,Sevilla,logistica,12.66,OSM: logistica | 12.7 ha | Sevilla,1.0,,,,0.54,nodo_1064874523,44.3,1467079,9.25,SEUR Hub Sevilla,843,True,9.22,80.1,6.79,Sevilla,,True,True
Poligono_Industrial_064,37.466643,-4.568731,Córdoba,industrial,12.6,OSM: industrial | 12.6 ha | Córdoba,2.67,,533,305,0.86,49,16.9,229874,44.25,Correos Express Hub Córdoba,,False,28.16,27.1,50.41,Córdoba,F12(Córdoba 50.4 km>50.0 km),False,False
Poligono_Industrial_065,37.128833,-6.171338,Sevilla,industrial,12.54,OSM: industrial | 12.5 ha | Sevilla,2.33,2959,101,58,21.02,35,52.9,553772,29.86,Amazon DSP Sevilla,708,True,16.31,25.5,33.25,Dos Hermanas,F3(Agua a 101 m (mín 140 m)) | F4(residential a 58 m (mín 200 m)) | F5(21.0 km>15.0 km),False,False
Polígono Industrial La Vega,36.026191,-5.609236,Cádiz,industrial,12.41,OSM: industrial | 12.4 ha | Cádiz,13.67,1015,233,310,16.68,1122,9.0,248654,84.9,Amazon El Puerto de Santa María (Cádiz),118,True,21.46,60.7,82.52,Cádiz,F1(pendiente=13.7%) | F5(16.7 km>15.0 km) | F12(Cádiz 82.5 km>50.0 km),False,False
Poligono_Industrial_066,37.022392,-5.968585,Sevilla,industrial,12.41,OSM: industrial | 12.4 ha | Sevilla,1.33,,243,191,3.7,nodo_325136207,57.5,294742,36.44,Amazon DSP Sevilla,2148,True,15.11,10.6,40.47,Dos Hermanas,F4(residential a 191 m (mín 200 m)),False,False
Cooperativa Agraria Nuestra Señora de las Virtudes,37.223521,-5.288801,Sevilla,industrial,12.41,OSM: industrial | 12.4 ha | Sevilla,4.67,,,,1.25,65,33.1,129882,59.01,SEUR Hub Sevilla,,False,40.12,7.8,63.75,Dos Hermanas,F1(pendiente=4.7%) | F12(Dos Hermanas 63.8 km>50.0 km),False,False
Poligono_Industrial_067,37.257128,-5.534332,Sevilla,industrial,12.35,OSM: industrial | 12.3 ha | Sevilla,4.0,,,291,0.28,41,46.7,302485,37.17,SEUR Hub Sevilla,536,True,30.34,13.7,41.94,Dos Hermanas,F1(pendiente=4.0%),False,False
Poligono_Industrial_068,37.508013,-4.657551,Córdoba,industrial,12.34,OSM: industrial | 12.3 ha | Córdoba,9.0,,,105,2.7,40,17.6,212394,36.89,Correos Express Hub Córdoba,477,True,21.32,24.2,43.61,Córdoba,F1(pendiente=9.0%) | F4(residential a 105 m (mín 200 m)),False,False
Desguace Pedro García,37.243528,-5.83263,Sevilla,industrial,12.26,OSM: industrial | 12.3 ha | Sevilla,2.33,,,,0.45,17,45.7,1402933,16.49,SEUR Hub Sevilla,827,True,13.16,74.3,20.53,Dos Hermanas,,True,True
Parque Solar El Rocío II - Instalación 1,37.155085,-6.50482,Huelva,industrial,12.21,OSM: industrial | 12.2 ha | Huelva,1.0,3047,,,1.43,25,52.7,113477,51.26,Amazon DSP Sevilla,1433,True,31.77,4.3,41.38,Huelva,,True,True
Polígono Industrial El Gordillo,37.455696,-5.948621,Sevilla,industrial,12.1,OSM: industrial | 12.1 ha | Sevilla,5.67,,338,,1.88,nodo_1064874500,44.5,1463909,9.67,SEUR Hub Sevilla,1059,True,9.86,79.7,8.07,Sevilla,F1(pendiente=5.7%),False,False
Polígono Industrial Huerta del Pino,37.361213,-6.328337,Sevilla,industrial,12.1,OSM: industrial | 12.1 ha | Sevilla,3.0,,,218,0.25,28,48.6,567740,30.81,Amazon DSP Sevilla,4076,True,17.71,28.1,30.72,Sevilla,,True,True
Polígono Industrial Los Emprendedores,37.575522,-5.430951,Sevilla,industrial,12.1,OSM: industrial | 12.1 ha | Sevilla,6.0,,218,175,7.49,487,43.3,134419,49.62,SEUR Hub Sevilla,,False,39.73,6.2,52.82,Dos Hermanas,F1(pendiente=6.0%) | F4(residential a 175 m (mín 200 m)) | F12(Dos Hermanas 52.8 km>50.0 km),False,False
Poligono_Industrial_069,38.088493,-5.811262,Sevilla,industrial,12.07,OSM: industrial | 12.1 ha | Sevilla,8.0,223,,218,36.62,730,3.6,13130,80.57,SEUR Hub Sevilla,,False,40.29,6.5,79.31,Sevilla,"F1(pendiente=8.0%) | F2(ENP a 223 m (mín 500 m): Parque Natural Sierra Mor) | F5(36.6 km>15.0 km) | F7(población 13,130 hab. en 30 km) | F12(Sevilla 79.3 km>50.0 km)",False,False
Polígono Industrial El Barrial,36.864487,-6.171494,Cádiz,industrial,12.04,OSM: industrial | 12.0 ha | Cádiz,10.0,,,0,14.41,nodo_309822232,54.5,425982,28.63,Amazon El Puerto de Santa María (Cádiz),,False,26.52,15.8,20.52,Jerez de la Frontera,F1(pendiente=10.0%) | F4(residential a 0 m (mín 200 m)),False,False
Poligono_Industrial_070,37.195884,-4.769444,Sevilla,industrial,12.04,OSM: industrial | 12.0 ha | Sevilla,2.67,,,317,1.59,125,10.0,103773,52.24,Amazon DQA3 Málaga,675,True,24.47,20.7,69.0,Algeciras,F12(Algeciras 69.0 km>50.0 km),False,False
Poligono_Industrial_071,37.456243,-4.701264,Córdoba,industrial,12.02,OSM: industrial | 12.0 ha | Córdoba,2.33,,,,9.25,40,17.9,219411,41.37,Correos Express Hub Córdoba,174,True,23.99,24.7,48.52,Córdoba,,True,False
Polígono Industrial La Palmosa,36.439088,-5.71629,Cádiz,industrial,11.91,OSM: industrial | 11.9 ha | Cádiz,11.33,0,,,0.26,45,26.3,65649,48.86,Amazon El Puerto de Santa María (Cádiz),,False,21.29,5.2,46.28,Jerez de la Frontera,F1(pendiente=11.3%) | F2(ENP a 0 m (mín 500 m): Parque Natural los Alcornoc),False,False
Poligono_Industrial_072,38.270814,-5.202051,Córdoba,industrial,11.86,OSM: industrial | 11.9 ha | Córdoba,3.33,,225,124,20.52,nodo_946210215,10.6,35610,61.26,Correos Express Hub Córdoba,,False,46.86,6.3,56.38,Córdoba,F1(pendiente=3.3%) | F4(residential a 124 m (mín 200 m)) | F5(20.5 km>15.0 km) | F12(Córdoba 56.4 km>50.0 km),False,False
